"id","order","family","genus","species","subspecies","author","taxonlevel","accid","canonical","source"
337,"Siphonaptera","Ceratophyllidae","Orchopeas","sexdentatus",NA,"","species",0,"Orchopeas sexdentatus","NMNH"
338,"Siphonaptera","Leptopsyllidae","Peromyscopsylla","catatina",NA,"Jordan, 1928","species",0,"Peromyscopsylla catatina","NMNH"
339,"Siphonaptera","Leptopsyllidae","Peromyscopsylla","hamifer","hamifer","Rothschild, 1906","subspecies",0,"Peromyscopsylla hamifer hamifer","NMNH"
340,"Siphonaptera","Ischnopsyllidae","Ischnopsyllus","intermedius",NA,"Rothschild, 1898","species",0,"Ischnopsyllus intermedius","NMNH"
341,"Siphonaptera","Leptopsyllidae","Peromyscopsylla","hesperomys","hesperomys","Baker, 1904","subspecies",0,"Peromyscopsylla hesperomys hesperomys","NMNH"
342,"Siphonaptera","Leptopsyllidae","Peromyscopsylla","hesperomys","pacifica","Holland, 1949","subspecies",0,"Peromyscopsylla hesperomys pacifica","NMNH"
343,"Siphonaptera","Leptopsyllidae","Peromyscopsylla","selenis",NA,"Rothschild, 1906","species",0,"Peromyscopsylla selenis","NMNH"
344,"Siphonaptera","Hystrichopsyllidae","Nearctopsylla","genalis","genalis","Baker, 1904","subspecies",0,"Nearctopsylla genalis genalis","NMNH"
345,"Siphonaptera","Hystrichopsyllidae","Nearctopsylla","genalis","hygini","Rothschild, 1904","subspecies",0,"Nearctopsylla genalis hygini","NMNH"
346,"Siphonaptera","Hystrichopsyllidae","Nearctopsylla","hyrtaci",NA,"Rothschild, 1904","species",0,"Nearctopsylla hyrtaci","NMNH"
347,"Siphonaptera","Hystrichopsyllidae","Nearctopsylla","brooksi",NA,"Rothschild, 1904","species",0,"Nearctopsylla brooksi","NMNH"
348,"Siphonaptera","Hystrichopsyllidae","Neopsylla","inopina",NA,"Rothschild, 1915","species",0,"Neopsylla inopina","NMNH"
349,"Siphonaptera","Hystrichopsyllidae","Rhadinopsylla","fraterna",NA,"Baker, 1895","species",0,"Rhadinopsylla fraterna","NMNH"
