"source","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"FMNH","23",NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus (Ceratophyllus) rossittensis swansoni Chi-Ying, 1974",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllus","Ceratophyllus","rossittensis","swansoni","subspecies",NA,"1974",NA,NA,NA,NA,NA,"Ceratophyllus rossittensis swansoni"
"FMNH","24",NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus (Ceratophyllus) scopulorum Holland, 1952",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllus","Ceratophyllus","scopulorum",NA,"species",NA,"Holland, 1952",NA,NA,NA,NA,NA,"Ceratophyllus scopulorum"
"FMNH","25",NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus (Ceratophyllus) styx riparius Jordan & Rothschild, 1920",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllus","Ceratophyllus","styx","riparius","subspecies",NA,"Jordan & Rothschild, 1920",NA,NA,NA,NA,NA,"Ceratophyllus styx riparius"
"FMNH","26",NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus (Ceratophyllus) zhovtyii Yemel'yanova & Goncharov, 1966",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllus","Ceratophyllus","zhovtyii",NA,"species",NA,"Yemel'yanova & Goncharov, 1966",NA,NA,NA,NA,NA,"Ceratophyllus zhovtyii"
"FMNH","27",NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus (Emmareus) diffinis Jordan, 1925",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllus","Emmareus","diffinis",NA,"species",NA,"Jordan, 1925",NA,NA,NA,NA,NA,"Ceratophyllus diffinis"
"FMNH","28",NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus (Emmareus) garei Rothschild, 1902",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllus","Emmareus","garei",NA,"species",NA,"Rothschild, 1902",NA,NA,NA,NA,NA,"Ceratophyllus garei"
"FMNH","29",NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus (Monopsyllus) sciurorum sciurorum (Schrank, 1803)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllus","Monopsyllus","sciurorum","sciurorum","subspecies",NA,"Schrank, 1803",NA,NA,NA,NA,NA,"Ceratophyllus sciurorum sciurorum"
"FMNH","30",NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus (Monopsyllus) vison fousta Hubbard, 1952",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllus","Monopsyllus","vison","fousta","subspecies",NA,"Hubbard, 1952",NA,NA,NA,NA,NA,"Ceratophyllus vison fousta"
"FMNH","31",NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus (Rosickyiana) lunatus tundrensis Holland, 1945",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllus","Rosickyiana","lunatus","tundrensis","subspecies",NA,"Holland, 1945",NA,NA,NA,NA,NA,"Ceratophyllus lunatus tundrensis"
"FMNH","32",NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus affinis neglectus Smit, 1958",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllus",NA,"affinis","neglectus","subspecies",NA,"Smit, 1958",NA,NA,NA,NA,NA,"Ceratophyllus affinis neglectus"
"FMNH","33",NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus coahuilensis Eads, 1956",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllus",NA,"coahuilensis",NA,"species",NA,"Eads, 1956",NA,NA,NA,NA,NA,"Ceratophyllus coahuilensis"
"FMNH","35",NA,NA,NA,NA,NA,NA,NA,"Ceratophyllus vison Baker, 1904",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllus",NA,"vison",NA,"species",NA,"Baker, 1904",NA,NA,NA,NA,NA,"Ceratophyllus vison"
"FMNH","36",NA,NA,NA,NA,NA,NA,NA,"Dactylopsylla bluei",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Dactylopsylla",NA,"bluei",NA,"species",NA,"",NA,NA,NA,NA,NA,"Dactylopsylla bluei"
"FMNH","37",NA,NA,NA,NA,NA,NA,NA,"Dactylopsylla bluei bluei (Fox, 1909)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Dactylopsylla",NA,"bluei","bluei","subspecies",NA,"Fox, 1909",NA,NA,NA,NA,NA,"Dactylopsylla bluei bluei"
