"order","family","genus","species","subspecies","author","taxonlevel","canonical","source","id","accid","merge_tag","unique"
"Siphonaptera","Rhopalopsyllidae","Dysmicus","acheronis",NA,"Johnson, 1957","species","Dysmicus acheronis","Lewis",2771,642,"orig","Lewis642"
"Siphonaptera","Ctenophthalmidae","Epitedia","jordani",NA,"Hubbard, 1940","species","Epitedia jordani","Lewis",2772,655,"orig","Lewis655"
"Siphonaptera","Ctenophthalmidae","Neopsylla","siimilis",NA,"Chapin, 1919","species","Neopsylla siimilis","Lewis",2773,658,"orig","Lewis658"
"Siphonaptera","Ceratophyllidae","Monopsyllus","eumolpi","charlestonensis","Hubbard, 1950","subspecies","Monopsyllus eumolpi charlestonensis","Lewis",2774,663,"orig","Lewis663"
"Siphonaptera","Ceratophyllidae","Monopsyllus","eumolpi","canadensis","Hubbard, 1950","subspecies","Monopsyllus eumolpi canadensis","Lewis",2775,664,"orig","Lewis664"
"Siphonaptera","Ceratophyllidae","Typhlopsylla","americanus",NA,"Baker, 1895","species","Typhlopsylla americanus","Lewis",2776,675,"orig","Lewis675"
"Siphonaptera","Leptopsyllidae","Frontopsylla","hollandi",NA,"Lewis, 1977","species","Frontopsylla hollandi","Lewis",2777,677,"orig","Lewis677"
"Siphonaptera","Leptopsyllidae","Frontopsylla","spadix","gurkha","Smit, 1975","subspecies","Frontopsylla spadix gurkha","Lewis",2778,682,"orig","Lewis682"
"Siphonaptera","Leptopsyllidae","Acanthopsylla","lapponica",NA,"Nordberg, 1935","species","Acanthopsylla lapponica","Lewis",2779,687,"orig","Lewis687"
"Siphonaptera","Leptopsyllidae","Frontopsylla","luculenta","parilis","Jordan, 1929","subspecies","Frontopsylla luculenta parilis","Lewis",2780,689,"orig","Lewis689"
"Siphonaptera","Leptopsyllidae","Frontopsylla","megasinus","acutus","Li & Chen, 1974","subspecies","Frontopsylla megasinus acutus","Lewis",2781,691,"orig","Lewis691"
"Siphonaptera","Leptopsyllidae","Frontopsylla","tuoli",NA,"Yu & Zhang, 1981","species","Frontopsylla tuoli","Lewis",2782,702,"orig","Lewis702"
"Siphonaptera","Ctenophthalmidae","Peusipsylla","kunaveri",NA,"Brelih, 1975","species","Peusipsylla kunaveri","Lewis",2783,707,"orig","Lewis707"
"Siphonaptera","Ctenophthalmidae","Evansipsylla","thysanota",NA,"Traub, 1968","species","Evansipsylla thysanota","Lewis",2784,708,"orig","Lewis708"
"Siphonaptera","Leptopsyllidae","Geusibia","intermedius",NA,"Liu, Tsai & Wu, 1974","species","Geusibia intermedius","Lewis",2785,722,"orig","Lewis722"
"Siphonaptera","Tungidae","Hectopsylla","mazzai",NA,"Costa Lima, 1935","species","Hectopsylla mazzai","Lewis",2786,737,"orig","Lewis737"
"Siphonaptera","Tungidae","Hectopsylla","pyttaci",NA,"Wolffhügel, 1916","species","Hectopsylla pyttaci","Lewis",2787,746,"orig","Lewis746"
"Siphonaptera","Tungidae","Maxilliopsylla","lilloi",NA,"Schreiter & Shannon, 1927","species","Maxilliopsylla lilloi","Lewis",2788,747,"orig","Lewis747"
"Siphonaptera","Hystrichopsyllidae","Hystrichopsylla","mammoth",NA,"Chapin, 1921","species","Hystrichopsylla mammoth","Lewis",2789,780,"orig","Lewis780"
"Siphonaptera","Ischnopsyllidae","Ischnopsyllus","teres",NA,"Jordan, 1929","species","Ischnopsyllus teres","Lewis",2790,795,"orig","Lewis795"
"Siphonaptera","Ischnopsyllidae","Ceratopslla","subobscura",NA,"Wagner, 1898","species","Ceratopslla subobscura","Lewis",2791,796,"orig","Lewis796"
"Siphonaptera","Ischnopsyllidae","Nycteridopsylla","bouchei",NA,"Oudemans, 1906","species","Nycteridopsylla bouchei","Lewis",2792,799,"orig","Lewis799"
"Siphonaptera","Ischnopsyllidae","Ischnopsyllus","tateishii",NA,"Sugimoto, 1933","species","Ischnopsyllus tateishii","Lewis",2793,801,"orig","Lewis801"
"Siphonaptera","Ischnopsyllidae","Ceratopsylla","wagneri",NA,"Kohaut, 1903","species","Ceratopsylla wagneri","Lewis",2794,803,"orig","Lewis803"
"Siphonaptera","Ischnopsyllidae","Ischnopsyllus","liui",NA,"Chao, 1947","species","Ischnopsyllus liui","Lewis",2795,806,"orig","Lewis806"
"Siphonaptera","Ischnopsyllidae","Ischnopsyllus","wassilii",NA,"Scalon 1935","species","Ischnopsyllus wassilii","Lewis",2796,808,"orig","Lewis808"
"Siphonaptera","Ischnopsyllidae","Ischnopsylls","brachystylus",NA,"Rothschild, 1910","species","Ischnopsylls brachystylus","Lewis",2797,809,"orig","Lewis809"
"Siphonaptera","Ischnopsyllidae","Ceratophyllus","variabilis","decimpilata","Wagner, 1898","subspecies","Ceratophyllus variabilis decimpilata","Lewis",2798,810,"orig","Lewis810"
"Siphonaptera","Ceratophyllidae","Kohlsia","ortizi",NA,"Vargas, 1951","species","Kohlsia ortizi","Lewis",2799,842,"orig","Lewis842"
"Siphonaptera","Ischnopsyllidae","Lagaropsylla","traubi",NA,"Klein, 1967","species","Lagaropsylla traubi","Lewis",2800,860,"orig","Lewis860"
"Siphonaptera","Ischnopsyllidae","Lagaropsylla","setzeri",NA,"Segerman, 1970","species","Lagaropsylla setzeri","Lewis",2801,861,"orig","Lewis861"
"Siphonaptera","Ischnopsyllidae","Lagaropsylla","mytila",NA,"Hurka, 1984","species","Lagaropsylla mytila","Lewis",2802,869,"orig","Lewis869"
"Siphonaptera","Leptopsyllidae","Pulex","musculi",NA,"Dugès, 1832","species","Pulex musculi","Lewis",2803,891,"orig","Lewis891"
"Siphonaptera","Ctenophthalmidae","Ceratophyllus","vicinus",NA,"Rothschild, 1905","species","Ceratophyllus vicinus","Lewis",2804,913,"orig","Lewis913"
"Siphonaptera","Ceratophyllidae","Macrostylophora","cuiae","jiangkouensis","Li & Huang, 1979","subspecies","Macrostylophora cuiae jiangkouensis","Lewis",2805,943,"orig","Lewis943"
"Siphonaptera","Ceratophyllidae","Ceratophyllus","agathus",NA,"Jordan & Rothschild, 1922","species","Ceratophyllus agathus","Lewis",2806,946,"orig","Lewis946"
"Siphonaptera","Malacopsyllidae","Megapsylla","inermis",NA,"Wahlgren, 1903","species","Megapsylla inermis","Lewis",2807,963,"orig","Lewis963"
"Siphonaptera","Ceratophyllidae","Monopsyllus","anadyrus",NA,"Jordan, 1937","species","Monopsyllus anadyrus","Lewis",2808,967,"orig","Lewis967"
"Siphonaptera","Ceratophyllidae","Megabothris","adversus",NA,"Wagner, 1936","species","Megabothris adversus","Lewis",2809,985,"orig","Lewis985"
"Siphonaptera","Ceratophyllidae","Megabothris","clantoni","johnsoni","Hubbard, 1949","subspecies","Megabothris clantoni johnsoni","Lewis",2810,990,"orig","Lewis990"
"Siphonaptera","Ceratophyllidae","Ceratophyllus","immitis",NA,"Jordan, 1929","species","Ceratophyllus immitis","Lewis",2811,991,"orig","Lewis991"
