"TPTdataset","TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","subfamily","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"Lewis",2407,NA,NA,"Lewis2407",NA,NA,NA,NA,NA,"Cediopsylla Jordan, 1925","Spilopsyllus tepolita Barrera, 1967",NA,NA,NA,NA,"1967",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Spilopsyllinae","Cediopsylla",NA,NA,NA,"review",NA,"Jordan, 1925",NA,NA,"synonym",NA,NA,"Cediopsylla"
"Lewis",2533,NA,NA,"Lewis2533",NA,NA,NA,NA,NA,"Thrassis acamantis Stark, 1970","Thrassis acamantis (Rothschild, 1905)",NA,NA,NA,NA,"1905",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Thrassis",NA,"acamantis",NA,"species",NA,"Stark, 1970",NA,NA,"synonym",NA,NA,"Thrassis acamantis"
"Lewis",368,NA,NA,"Lewis368",NA,NA,NA,NA,NA,"Ceratophyllus monedulae Wahlgren, 1907","Ceratophyllus vagabundus vagabundus (Boheman, 1866)",NA,NA,NA,NA,"1866",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Ceratophyllus",NA,"monedulae",NA,"species",NA,"Wahlgren, 1907",NA,NA,"synonym",NA,NA,"Ceratophyllus monedulae"
"Lewis",2403,NA,NA,"Lewis2403",NA,NA,NA,NA,NA,"Cediopsylla Jordan, 1925","Spilopsyllus inaequalis inaequalis (Baker, 1895)",NA,NA,NA,NA,"1895",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Spilopsyllinae","Cediopsylla",NA,NA,NA,"review",NA,"Jordan, 1925",NA,NA,"synonym",NA,NA,"Cediopsylla"
"Lewis",2404,NA,NA,"Lewis2404",NA,NA,NA,NA,NA,"Cediopsylla Jordan, 1925","Spilopsyllus inaequalis interrupta Jordan, 1925",NA,NA,NA,NA,"1925",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Spilopsyllinae","Cediopsylla",NA,NA,NA,"review",NA,"Jordan, 1925",NA,NA,"synonym",NA,NA,"Cediopsylla"
"Lewis",1210,NA,NA,"Lewis1210",NA,NA,NA,NA,NA,"Ceratophyllus hexactena petropolitana Wagner, 1898","Ischnopsyllus hexactenus (Kolenati, 1856)",NA,NA,NA,NA,"1856",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae","Ischnopsyllinae","Ceratophyllus",NA,"hexactena","petropolitana","subspecies",NA,"Wagner, 1898",NA,NA,"synonym",NA,NA,"Ceratophyllus hexactena petropolitana"
"Lewis",1620,NA,NA,"Lewis1620",NA,NA,NA,NA,NA,"Ceratophyllus hexactena petropolitana Wagner, 1898","Neopsylla honora Jordan, 1932",NA,NA,NA,NA,"1932",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ctenophthalmidae","Neopsyllinae","Ceratophyllus",NA,"hexactena","petropolitana","subspecies",NA,"Wagner, 1898",NA,NA,"synonym",NA,NA,"Ceratophyllus hexactena petropolitana"
"Lewis",1858,NA,NA,"Lewis1858",NA,NA,NA,NA,NA,"Diamanus hopkinsi Vargas, 1955","Oropsylla montana (Baker, 1895)",NA,NA,NA,NA,"1895",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Diamanus",NA,"hopkinsi",NA,"species",NA,"Vargas, 1955",NA,NA,"synonym",NA,NA,"Diamanus hopkinsi"
"Lewis",1210,NA,NA,"Lewis1210",NA,NA,NA,NA,NA,"Pulex vespertilionis Bouché, 1835","Ischnopsyllus hexactenus (Kolenati, 1856)",NA,NA,NA,NA,"1856",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae","Ischnopsyllinae","Pulex",NA,"vespertilionis",NA,"species",NA,"Bouché, 1835",NA,NA,"synonym",NA,NA,"Pulex vespertilionis"
"Lewis",1210,NA,NA,"Lewis1210",NA,NA,NA,NA,NA,"Pulex vespertilionis Dugès, 1832","Ischnopsyllus hexactenus (Kolenati, 1856)",NA,NA,NA,NA,"1856",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae","Ischnopsyllinae","Pulex",NA,"vespertilionis",NA,"species",NA,"Dugès, 1832",NA,NA,"synonym",NA,NA,"Pulex vespertilionis"
"Lewis",848,NA,NA,"Lewis848",NA,NA,NA,NA,NA,"Ceratophyllus monedulae Dale, 1878","Dasypsyllus gallinulae gallinulae (Dale, 1878)",NA,NA,NA,NA,"1878",NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae","Ceratophyllinae","Ceratophyllus",NA,"monedulae",NA,"species",NA,"Dale, 1878",NA,NA,"synonym",NA,NA,"Ceratophyllus monedulae"
