"source","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","subfamily","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"GBIF, CoL","1416413",NA,1416411,"1416402",NA,NA,NA,NA,"Polygenis agilis (Prado, 1933)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Rhopalopsyllidae",NA,"Polygenis",NA,"agilis",NA,"species",NA,"(Prado, 1933)",NA,NA,"synonym",NA,NA,"Polygenis agilis"
"GBIF, CoL","1416412",NA,1416411,"1416402",NA,NA,NA,NA,"Polygenis truncatus (Guimaraes, 1936)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Rhopalopsyllidae",NA,"Polygenis",NA,"truncatus",NA,"species",NA,"(Guimaraes, 1936)",NA,NA,"synonym",NA,NA,"Polygenis truncatus"
"GBIF, CoL, NMNH","6193895",NA,NA,"1416429",NA,NA,NA,NA,"Polygenis klagesi klagesi",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Rhopalopsyllidae",NA,"Polygenis",NA,"klagesi","klagesi","subspecies",NA,"(Rothschild, 1904)",NA,NA,"accepted",NA,NA,"Polygenis klagesi klagesi"
"GBIF, CoL","6193897",NA,NA,"1416429",NA,NA,NA,NA,"Polygenis klagesi rangeli Smit, 1987",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Rhopalopsyllidae",NA,"Polygenis",NA,"klagesi","rangeli","subspecies",NA,"Smit, 1987",NA,NA,"accepted",NA,NA,"Polygenis klagesi rangeli"
"GBIF, CoL, NMNH","6193896",NA,NA,"1416429",NA,NA,NA,NA,"Polygenis klagesi samuelis (Jordan & Rothschild, 1923)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Rhopalopsyllidae",NA,"Polygenis",NA,"klagesi","samuelis","subspecies",NA,"(Jordan & Rothschild, 1923)",NA,NA,"accepted",NA,NA,"Polygenis klagesi samuelis"
"GBIF","9259012",NA,1416429,"1416402",NA,NA,NA,NA,"Pulex klagesi Rothschild, 1904",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Rhopalopsyllidae",NA,"Polygenis",NA,"klagesi",NA,"species",NA,"Rothschild, 1904",NA,NA,"synonym",NA,NA,"Pulex klagesi"
"GBIF, CoL","1417249",NA,NA,"1417236",NA,NA,NA,NA,"Nosopsyllus elongatus Li Kueichen & Shen Dingying, 1963",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Nosopsyllus",NA,"elongatus",NA,"species",NA,"Li Kueichen & Shen Dingying, 1963",NA,NA,"accepted",NA,NA,"Nosopsyllus elongatus"
"GBIF, CoL","4770076",NA,NA,"1417236",NA,NA,NA,NA,"Nosopsyllus gerbillophilus Wagner, 1934",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Nosopsyllus",NA,"gerbillophilus",NA,"species",NA,"Wagner, 1934",NA,NA,"accepted",NA,NA,"Nosopsyllus gerbillophilus"
"GBIF, CoL, NMNH","1417332",NA,NA,"1417236",NA,NA,NA,NA,"Nosopsyllus wualis Jordan, 1941",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ceratophyllidae",NA,"Nosopsyllus",NA,"wualis",NA,"species",NA,"Jordan, 1941",NA,NA,"accepted",NA,NA,"Nosopsyllus wualis"
"GBIF","9599854",NA,1418195,"9010",NA,NA,NA,NA,"Smitictenophthalmus Beaucournu, 2011",NA,NA,NA,NA,"Article title: Contribution to a better knowledge of the genera Ctenophthalmus Kolenati, 1856, and Stenoponia Jordan & Rothschild, 1911 (Siphonaptera, Ctenophthalmidae).",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae",NA,"Ctenophthalmus",NA,NA,NA,"genus",NA,"Beaucournu, 2011",NA,NA,"synonym",NA,NA,"Smitictenophthalmus"
