"taxonID","datasetID","parentNameUsageID","acceptedNameUsageID","originalNameUsageID","scientificName","scientificNameAuthorship","canonicalName","genericName","specificEpithet","infraspecificEpithet","taxonRank","nameAccordingTo","namePublishedIn","taxonomicStatus","nomenclaturalStatus","taxonRemarks","kingdom","phylum","class","order","family","genus"
6194414,"7ddf754f-d193-4cc9-b351-99906754a03b",1419688,NA,NA,"Afristivalius pirloti angolae (Ribeiro, 1975)","(Ribeiro, 1975)","Afristivalius pirloti angolae","Afristivalius","pirloti","angolae","subspecies",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae","Afristivalius"
6194413,"7ddf754f-d193-4cc9-b351-99906754a03b",1419688,NA,NA,"Afristivalius pirloti pirloti","(Smit, 1958)","Afristivalius pirloti pirloti","Afristivalius","pirloti","pirloti","subspecies",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae","Afristivalius"
1419691,"7ddf754f-d193-4cc9-b351-99906754a03b",1419676,NA,NA,"Afristivalius rahmi (Beaucournu, 1970)","(Beaucournu, 1970)","Afristivalius rahmi","Afristivalius","rahmi",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae","Afristivalius"
1419681,"7ddf754f-d193-4cc9-b351-99906754a03b",1419676,NA,NA,"Afristivalius richardi (Jordan, 1936)","(Jordan, 1936)","Afristivalius richardi","Afristivalius","richardi",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae","Afristivalius"
1419692,"7ddf754f-d193-4cc9-b351-99906754a03b",1419676,NA,NA,"Afristivalius sellatus (Jordan & Rothschild, 1923)","(Jordan & Rothschild, 1923)","Afristivalius sellatus","Afristivalius","sellatus",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae","Afristivalius"
1419682,"7ddf754f-d193-4cc9-b351-99906754a03b",1419676,NA,NA,"Afristivalius smitianus (Beaucournu, 1967)","(Beaucournu, 1967)","Afristivalius smitianus","Afristivalius","smitianus",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae","Afristivalius"
1419686,"7ddf754f-d193-4cc9-b351-99906754a03b",1419676,NA,NA,"Afristivalius timanus (Jordan, 1931)","(Jordan, 1931)","Afristivalius timanus","Afristivalius","timanus",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae","Afristivalius"
1419693,"7ddf754f-d193-4cc9-b351-99906754a03b",1419676,NA,NA,"Afristivalius torvus (Rothschild, 1908)","(Rothschild, 1908)","Afristivalius torvus","Afristivalius","torvus",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae","Afristivalius"
1419683,"7ddf754f-d193-4cc9-b351-99906754a03b",1419676,NA,NA,"Afristivalius vancanneyti (Berteaux, 1947)","(Berteaux, 1947)","Afristivalius vancanneyti","Afristivalius","vancanneyti",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Stivaliidae","Afristivalius"
6194498,"7ddf754f-d193-4cc9-b351-99906754a03b",1418629,NA,NA,"Agastopsylla boxi boxi","Jordan & Rothschild, 1923","Agastopsylla boxi boxi","Agastopsylla","boxi","boxi","subspecies",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Agastopsylla"
6194499,"7ddf754f-d193-4cc9-b351-99906754a03b",1418629,NA,NA,"Agastopsylla boxi gibbosa Beaucournu & Alcover, 1990","Beaucournu & Alcover, 1990","Agastopsylla boxi gibbosa","Agastopsylla","boxi","gibbosa","subspecies",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Agastopsylla"
1418628,"7ddf754f-d193-4cc9-b351-99906754a03b",1418623,NA,NA,"Agastopsylla hirsutior Traub, 1952","Traub, 1952","Agastopsylla hirsutior","Agastopsylla","hirsutior",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Agastopsylla"
6194501,"7ddf754f-d193-4cc9-b351-99906754a03b",1418625,NA,NA,"Agastopsylla nylota euneomys Lewis, 1984","Lewis, 1984","Agastopsylla nylota euneomys","Agastopsylla","nylota","euneomys","subspecies",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Agastopsylla"
6194500,"7ddf754f-d193-4cc9-b351-99906754a03b",1418625,NA,NA,"Agastopsylla nylota nylota","Traub, 1952","Agastopsylla nylota nylota","Agastopsylla","nylota","nylota","subspecies",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Agastopsylla"
1418624,"7ddf754f-d193-4cc9-b351-99906754a03b",1418623,NA,NA,"Agastopsylla pearsoni Traub, 1952","Traub, 1952","Agastopsylla pearsoni","Agastopsylla","pearsoni",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Agastopsylla"
4770135,"0938172b-2086-439c-a1dd-c21cb0109ed5",5329,"1417895",NA,"Akmepsylla Wagner, 1933","Wagner, 1933","Akmepsylla","Akmepsylla",NA,NA,"genus",NA,"Mitt. Zool. Mus. Berlin, 18","synonym",NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pygiopsyllidae","Acanthopsylla"
