"id","order","family","genus","species","subspecies","taxonlevel","accid","canonical","source"
48,"Siphonaptera","Stivaliidae","Afristivalius","fallaciosus",NA,"species",0,"Afristivalius fallaciosus","Lewis, CoL, GBIF"
49,"Siphonaptera","Stivaliidae","Afristivalius","hartorum",NA,"species",0,"Afristivalius hartorum","Lewis"
50,"Siphonaptera","Stivaliidae","Afristivalius","nigeriensis",NA,"species",0,"Afristivalius nigeriensis","Lewis, CoL, NMNH, GBIF"
51,"Siphonaptera","Stivaliidae","Afristivalius","parilis",NA,"species",0,"Afristivalius parilis","Lewis, CoL, GBIF"
356,"Siphonaptera","Stivaliidae","Afristivalius","pirloti",NA,"species",0,"Afristivalius pirloti","CoL, GBIF"
52,"Siphonaptera","Stivaliidae","Afristivalius","pirloti","angolae","subspecies",0,"Afristivalius pirloti angolae","Lewis, CoL, GBIF"
53,"Siphonaptera","Stivaliidae","Afristivalius","pirloti","pirloti","subspecies",0,"Afristivalius pirloti pirloti","Lewis, CoL, GBIF"
54,"Siphonaptera","Stivaliidae","Afristivalius","rahmi",NA,"species",0,"Afristivalius rahmi","Lewis, CoL, GBIF"
55,"Siphonaptera","Stivaliidae","Afristivalius","richardi",NA,"species",0,"Afristivalius richardi","Lewis, CoL, GBIF"
56,"Siphonaptera","Stivaliidae","Afristivalius","sellatus",NA,"species",0,"Afristivalius sellatus","Lewis, CoL, GBIF"
57,"Siphonaptera","Stivaliidae","Afristivalius","smitianus",NA,"species",0,"Afristivalius smitianus","Lewis, CoL, GBIF"
58,"Siphonaptera","Stivaliidae","Afristivalius","timanus",NA,"species",0,"Afristivalius timanus","Lewis, CoL, GBIF"
59,"Siphonaptera","Stivaliidae","Afristivalius","torvus",NA,"species",0,"Afristivalius torvus","Lewis, CoL, NMNH, GBIF"
60,"Siphonaptera","Stivaliidae","Afristivalius","vancanneyti",NA,"species",0,"Afristivalius vancanneyti","Lewis, CoL, GBIF"
368,"Siphonaptera","Hystrichopsyllidae","Agastopsylla","boxi",NA,"species",0,"Agastopsylla boxi","CoL, GBIF"
61,"Siphonaptera","Ctenophthalmidae","Agastopsylla","boxi","boxi","subspecies",0,"Agastopsylla boxi boxi","Lewis, CoL, GBIF"
62,"Siphonaptera","Ctenophthalmidae","Agastopsylla","boxi","gibbosa","subspecies",0,"Agastopsylla boxi gibbosa","Lewis, CoL, GBIF"
63,"Siphonaptera","Ctenophthalmidae","Agastopsylla","guzmani",NA,"species",0,"Agastopsylla guzmani","Lewis"
64,"Siphonaptera","Ctenophthalmidae","Agastopsylla","hirsutior",NA,"species",0,"Agastopsylla hirsutior","Lewis, CoL, GBIF"
372,"Siphonaptera","Hystrichopsyllidae","Agastopsylla","nylota",NA,"species",0,"Agastopsylla nylota","CoL, GBIF"
65,"Siphonaptera","Ctenophthalmidae","Agastopsylla","nylota","euneomys","subspecies",0,"Agastopsylla nylota euneomys","Lewis, CoL, GBIF"
66,"Siphonaptera","Ctenophthalmidae","Agastopsylla","nylota","nylota","subspecies",0,"Agastopsylla nylota nylota","Lewis, CoL, GBIF"
67,"Siphonaptera","Ctenophthalmidae","Agastopsylla","pearsoni",NA,"species",0,"Agastopsylla pearsoni","Lewis, CoL, NMNH, GBIF"
6223,"Siphonaptera",NA,"Alaopsylla","achilla",NA,"species",2716,"Alaopsylla achilla","CoL"
6196,"Siphonaptera",NA,"Alaopsylla","chersinus",NA,"species",2690,"Alaopsylla chersinus","CoL"
6229,"Siphonaptera",NA,"Alaopsylla","hawaiiensis",NA,"species",2721,"Alaopsylla hawaiiensis","CoL"
6220,"Siphonaptera",NA,"Alaopsylla","lybica",NA,"species",2714,"Alaopsylla lybica","CoL"
6230,"Siphonaptera",NA,"Alaopsylla","meseris",NA,"species",2721,"Alaopsylla meseris","CoL"
6146,"Siphonaptera",NA,"Alaopsylla","murinus",NA,"species",2646,"Alaopsylla murinus","CoL"
6147,"Siphonaptera",NA,"Alaopsylla","pachyuromyidis",NA,"species",2646,"Alaopsylla pachyuromyidis","CoL"
3033,"Siphonaptera","Pulicidae","Alaopsylla","papuensis",NA,"species",2694,"Alaopsylla papuensis","Lewis"
6166,"Siphonaptera",NA,"Alaopsylla","pasiphae",NA,"species",2661,"Alaopsylla pasiphae","CoL"
6148,"Siphonaptera",NA,"Alaopsylla","philippinensis",NA,"species",2646,"Alaopsylla philippinensis","CoL"
6185,"Siphonaptera",NA,"Alaopsylla","sewelli",NA,"species",2679,"Alaopsylla sewelli","CoL"
6149,"Siphonaptera",NA,"Alaopsylla","tripolitanus",NA,"species",2646,"Alaopsylla tripolitanus","CoL"
6143,"Siphonaptera",NA,"Alaopsylla","vigetus",NA,"species",2643,"Alaopsylla vigetus","CoL"
68,"Siphonaptera","Ischnopsyllidae","Alectopsylla","unisetosa",NA,"species",0,"Alectopsylla unisetosa","Lewis, CoL, GBIF"
69,"Siphonaptera","Ischnopsyllidae","Allopsylla","alloides",NA,"species",0,"Allopsylla alloides","Lewis, CoL, GBIF"
70,"Siphonaptera","Ischnopsyllidae","Allopsylla","hetera",NA,"species",0,"Allopsylla hetera","Lewis, CoL, GBIF"
71,"Siphonaptera","Ischnopsyllidae","Allopsylla","lobayensis",NA,"species",0,"Allopsylla lobayensis","Lewis"
389,"Siphonaptera","Ceratophyllidae","Amalaraeus","andersoni",NA,"species",0,"Amalaraeus andersoni","CoL, GBIF"
72,"Siphonaptera","Ceratophyllidae","Amalaraeus","andersoni","andersoni","subspecies",0,"Amalaraeus andersoni andersoni","Lewis, CoL, GBIF"
73,"Siphonaptera","Ceratophyllidae","Amalaraeus","andersoni","ioffi","subspecies",0,"Amalaraeus andersoni ioffi","Lewis, CoL, GBIF"
74,"Siphonaptera","Ceratophyllidae","Amalaraeus","arvicolae",NA,"species",0,"Amalaraeus arvicolae","Lewis, CoL, GBIF"
2789,"Siphonaptera","Ceratophyllidae","Amalaraeus","arvicolae","furkotensis","subspecies",74,"Amalaraeus arvicolae furkotensis","Lewis"
3476,"Siphonaptera","Ceratophyllidae","Amalaraeus","arvicolae","smitianus","subspecies",74,"Amalaraeus arvicolae smitianus","CoL, GBIF"
6333,"Siphonaptera","Ceratophyllidae","Amalaraeus","dioplesicus",NA,"species",74,"Amalaraeus dioplesicus","GBIF"
3477,"Siphonaptera","Ceratophyllidae","Amalaraeus","dioplesius",NA,"species",74,"Amalaraeus dioplesius","CoL, GBIF"
395,"Siphonaptera","Ceratophyllidae","Amalaraeus","dissimilis",NA,"species",0,"Amalaraeus dissimilis","CoL, GBIF"
75,"Siphonaptera","Ceratophyllidae","Amalaraeus","dissimilis","angularis","subspecies",0,"Amalaraeus dissimilis angularis","Lewis, CoL, GBIF"
76,"Siphonaptera","Ceratophyllidae","Amalaraeus","dissimilis","angulatus","subspecies",0,"Amalaraeus dissimilis angulatus","Lewis, CoL, GBIF"
77,"Siphonaptera","Ceratophyllidae","Amalaraeus","dissimilis","athabascae","subspecies",0,"Amalaraeus dissimilis athabascae","Lewis, CoL, NMNH, FMNH, GBIF"
78,"Siphonaptera","Ceratophyllidae","Amalaraeus","dissimilis","daghestanicus","subspecies",0,"Amalaraeus dissimilis daghestanicus","Lewis, CoL, GBIF"
79,"Siphonaptera","Ceratophyllidae","Amalaraeus","dissimilis","dissimilis","subspecies",0,"Amalaraeus dissimilis dissimilis","Lewis, CoL, NMNH, FMNH, GBIF"
80,"Siphonaptera","Ceratophyllidae","Amalaraeus","dobbsi",NA,"species",0,"Amalaraeus dobbsi","Lewis, CoL, NMNH, FMNH, GBIF"
2775,"Siphonaptera",NA,"Amalaraeus","fossoris",NA,"species",0,"Amalaraeus fossoris","Lewis"
3478,"Siphonaptera","Ceratophyllidae","Amalaraeus","furkotensis",NA,"species",74,"Amalaraeus furkotensis","CoL, GBIF"
81,"Siphonaptera","Ceratophyllidae","Amalaraeus","improvisus",NA,"species",0,"Amalaraeus improvisus","Lewis, CoL, GBIF"
404,"Siphonaptera","Ceratophyllidae","Amalaraeus","mustelae",NA,"species",405,"Amalaraeus mustelae","CoL, GBIF"
405,"Siphonaptera","Ceratophyllidae","Amalaraeus","penicilliger",NA,"species",0,"Amalaraeus penicilliger","CoL, GBIF"
3487,"Siphonaptera","Ceratophyllidae","Amalaraeus","penicilliger","bohemicus","subspecies",82,"Amalaraeus penicilliger bohemicus","CoL, GBIF"
3491,"Siphonaptera","Ceratophyllidae","Amalaraeus","penicilliger","demotus","subspecies",85,"Amalaraeus penicilliger demotus","CoL, GBIF"
6335,"Siphonaptera","Ceratophyllidae","Amalaraeus","penicilliger","dissimilis","subspecies",395,"Amalaraeus penicilliger dissimilis","GBIF"
82,"Siphonaptera","Ceratophyllidae","Amalaraeus","penicilliger","kratochvili","subspecies",0,"Amalaraeus penicilliger kratochvili","Lewis, CoL, GBIF"
410,"Siphonaptera","Ceratophyllidae","Amalaraeus","penicilliger","longidigitus","subspecies",0,"Amalaraeus penicilliger longidigitus","CoL, GBIF"
83,"Siphonaptera","Ceratophyllidae","Amalaraeus","penicilliger","mengdaensis","subspecies",0,"Amalaraeus penicilliger mengdaensis","Lewis"
84,"Siphonaptera","Ceratophyllidae","Amalaraeus","penicilliger","mustelae","subspecies",0,"Amalaraeus penicilliger mustelae","Lewis, CoL"
3488,"Siphonaptera","Ceratophyllidae","Amalaraeus","penicilliger","nivalis","subspecies",82,"Amalaraeus penicilliger nivalis","CoL, GBIF"
85,"Siphonaptera","Ceratophyllidae","Amalaraeus","penicilliger","pedias","subspecies",0,"Amalaraeus penicilliger pedias","Lewis, CoL, GBIF"
86,"Siphonaptera","Ceratophyllidae","Amalaraeus","penicilliger","penicilliger","subspecies",0,"Amalaraeus penicilliger penicilliger","Lewis, CoL, NMNH, FMNH, GBIF"
87,"Siphonaptera","Ceratophyllidae","Amalaraeus","penicilliger","pyrenaicus","subspecies",0,"Amalaraeus penicilliger pyrenaicus","Lewis, CoL, GBIF"
88,"Siphonaptera","Ceratophyllidae","Amalaraeus","penicilliger","syrt","subspecies",0,"Amalaraeus penicilliger syrt","Lewis, CoL, GBIF"
89,"Siphonaptera","Ceratophyllidae","Amalaraeus","penicilliger","vallis","subspecies",0,"Amalaraeus penicilliger vallis","Lewis, CoL, GBIF"
90,"Siphonaptera","Ceratophyllidae","Amalaraeus","steineri",NA,"species",0,"Amalaraeus steineri","Lewis, CoL, GBIF"
2776,"Siphonaptera",NA,"Amalaraeus","sugitanii",NA,"species",0,"Amalaraeus sugitanii","Lewis"
92,"Siphonaptera","Ceratophyllidae","Amaradix","bitterrootensis",NA,"species",0,"Amaradix bitterrootensis","Lewis, CoL, GBIF"
420,"Siphonaptera","Ceratophyllidae","Amaradix","bitterrootensis","bitterrootensis","subspecies",0,"Amaradix bitterrootensis bitterrootensis","CoL, NMNH, FMNH, GBIF"
421,"Siphonaptera","Ceratophyllidae","Amaradix","bitterrootensis","vonfintelis","subspecies",0,"Amaradix bitterrootensis vonfintelis","CoL, NMNH, FMNH"
93,"Siphonaptera","Ceratophyllidae","Amaradix","euphorbi",NA,"species",0,"Amaradix euphorbi","Lewis, CoL, NMNH, FMNH, GBIF"
3498,"Siphonaptera","Ceratophyllidae","Amaradix","isus",NA,"species",92,"Amaradix isus","CoL, GBIF"
3500,"Siphonaptera","Ceratophyllidae","Amaradix","jordani",NA,"species",93,"Amaradix jordani","CoL, GBIF"
94,"Siphonaptera","Ceratophyllidae","Amaradix","vonfintelis",NA,"species",0,"Amaradix vonfintelis","Lewis"
95,"Siphonaptera","Ceratophyllidae","Amonopsyllus","ciliatus",NA,"species",0,"Amonopsyllus ciliatus","Lewis"
3296,"Siphonaptera","Ceratophyllidae","Amonopsyllus","ciliatus","mononis","subspecies",95,"Amonopsyllus ciliatus mononis","Lewis"
2792,"Siphonaptera","Ceratophyllidae","Amonopsyllus","ciliatus","protinus","subspecies",95,"Amonopsyllus ciliatus protinus","Lewis"
425,"Siphonaptera","Ceratophyllidae","Amphalius","clarus",NA,"species",0,"Amphalius clarus","CoL, GBIF"
96,"Siphonaptera","Ceratophyllidae","Amphalius","clarus","clarus","subspecies",0,"Amphalius clarus clarus","Lewis, CoL, GBIF"
97,"Siphonaptera","Ceratophyllidae","Amphalius","clarus","kunlunensis","subspecies",0,"Amphalius clarus kunlunensis","Lewis, CoL, GBIF"
98,"Siphonaptera","Ceratophyllidae","Amphalius","clarus","tianshanensis","subspecies",0,"Amphalius clarus tianshanensis","Lewis"
99,"Siphonaptera","Ceratophyllidae","Amphalius","manosus",NA,"species",0,"Amphalius manosus","Lewis, CoL, GBIF"
429,"Siphonaptera","Ceratophyllidae","Amphalius","mengdaensis",NA,"species",0,"Amphalius mengdaensis","CoL, GBIF"
430,"Siphonaptera","Ceratophyllidae","Amphalius","runatus",NA,"species",0,"Amphalius runatus","CoL, GBIF"
100,"Siphonaptera","Ceratophyllidae","Amphalius","runatus","necopinus","subspecies",0,"Amphalius runatus necopinus","Lewis, CoL, NMNH, FMNH, GBIF"
101,"Siphonaptera","Ceratophyllidae","Amphalius","runatus","runatus","subspecies",0,"Amphalius runatus runatus","Lewis, CoL, NMNH, GBIF"
