"TPTdataset","TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"NMNH",271,NA,NA,NA,NA,NA,NA,NA,NA,"Xenopsylla phyllomae Demeillon, 1934",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Xenopsylla",NA,"phyllomae",NA,"species",NA,"Demeillon, 1934",NA,NA,NA,NA,NA,"Xenopsylla phyllomae"
"NMNH",272,NA,NA,NA,NA,NA,NA,NA,NA,"Xenopsylla piriei Ingram, 1928",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Xenopsylla",NA,"piriei",NA,"species",NA,"Ingram, 1928",NA,NA,NA,NA,NA,"Xenopsylla piriei"
"NMNH",273,NA,NA,NA,NA,NA,NA,NA,NA,"Xenopsylla scopulifer (Rothschild, 1905)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Xenopsylla",NA,"scopulifer",NA,"species",NA,"Rothschild, 1905",NA,NA,NA,NA,NA,"Xenopsylla scopulifer"
"NMNH",274,NA,NA,NA,NA,NA,NA,NA,NA,"Xenopsylla trifaria Demeillon, 1930",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Xenopsylla",NA,"trifaria",NA,"species",NA,"Demeillon, 1930",NA,NA,NA,NA,NA,"Xenopsylla trifaria"
"NMNH",275,NA,NA,NA,NA,NA,NA,NA,NA,"Myodopsylla wolffsohni wolffsohni",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Ischnopsyllidae","Myodopsylla",NA,"wolffsohni","wolffsohni","subspecies",NA,"",NA,NA,NA,NA,NA,"Myodopsylla wolffsohni wolffsohni"
"NMNH",276,NA,NA,NA,NA,NA,NA,NA,NA,"Ctenocephalides canis",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Pulicidae","Ctenocephalides",NA,"canis",NA,"species",NA,"",NA,NA,NA,NA,NA,"Ctenocephalides canis"
"NMNH",277,NA,NA,NA,NA,NA,NA,NA,NA,"Polygenis lakoi",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Rhopalopsyllidae","Polygenis",NA,"lakoi",NA,"species",NA,"",NA,NA,NA,NA,NA,"Polygenis lakoi"
"NMNH",278,NA,NA,NA,NA,NA,NA,NA,NA,"Adoratopsylla (Adoratopsylla) bisetosa Ewing, 1925",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Adoratopsylla","Adoratopsylla","bisetosa",NA,"species",NA,"Ewing, 1925",NA,NA,NA,NA,NA,"Adoratopsylla bisetosa"
"NMNH",279,NA,NA,NA,NA,NA,NA,NA,NA,"Adoratopsylla (Adoratopsylla) antiquorum antiquorum (Rothschild, 1904)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Adoratopsylla","Adoratopsylla","antiquorum","antiquorum","subspecies",NA,"Rothschild, 1904",NA,NA,NA,NA,NA,"Adoratopsylla antiquorum antiquorum"
"NMNH",280,NA,NA,NA,NA,NA,NA,NA,NA,"Adoratopsylla (Tritopsylla) intermedia intermedia (Wagner, 1901)",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Insecta","Siphonaptera","Hystrichopsyllidae","Adoratopsylla","Tritopsylla","intermedia","intermedia","subspecies",NA,"Wagner, 1901",NA,NA,NA,NA,NA,"Adoratopsylla intermedia intermedia"
