"source","taxonID","catalog number","catalog","barcode","type status","type citation","other identifications","sex and stage","preparation","bioregion","distribution","country","province/state","district/county","precise locality","elevation (m)","centroid latitude","centroid longitude","field number","collector(s)","collecting date","specimen count","record status","genetic sample type","biorepository number","bold id","genbank numbers","preservation method","embargo?","depleted?","record last modified","ezid"
"NMNH",784,NA,"Species Inventory",NA,NA,NA,NA,NA,"Slide","Afrotropical","South Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-14 16:20:00,"http://n2t.net/ark:/65665/33fa7a251-a5dd-40e1-baf3-6dd411cbd470"
"NMNH",831,NA,"Species Inventory",NA,NA,NA,NA,NA,"Slide","Nearctic; Palaearctic","Turkey; United States (Florida, Nebraska, Puerto Rico, South Carolina, Texas)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:18:00,"http://n2t.net/ark:/65665/3c55a05d6-55da-4018-b1e0-dff065c5a115"
"NMNH",901,NA,"Species Inventory",NA,NA,NA,NA,NA,"Slide","Nearctic","United States (California)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:19:00,"http://n2t.net/ark:/65665/34c68b96e-024a-4fda-854f-c95f08f037f4"
"NMNH",907,NA,"Species Inventory",NA,NA,NA,NA,NA,"Slide","Nearctic","United States (California, Montana)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:19:00,"http://n2t.net/ark:/65665/37426043c-5b0c-434c-96ae-eedd82a8b27f"
"NMNH",917,NA,"Species Inventory",NA,NA,NA,NA,NA,"Slide","Nearctic","United States (Montana, Washington)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:19:00,"http://n2t.net/ark:/65665/340f762de-be58-4797-b362-7c4633b4af1f"
"NMNH",920,NA,"Species Inventory",NA,NA,NA,NA,NA,"Slide","Nearctic","United States (Montana)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:19:00,"http://n2t.net/ark:/65665/33240c1a0-b946-42bc-9836-fe957faa0924"
"NMNH",922,NA,"Species Inventory",NA,NA,NA,NA,NA,"Slide","Nearctic","United States (California, Montana, Nevada, Texas, Utah, Washington, Wyoming)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:20:00,"http://n2t.net/ark:/65665/39e934fea-b8a1-4978-8e11-e1ff111dda1f"
"NMNH",933,NA,"Species Inventory",NA,NA,NA,NA,NA,"Slide","Nearctic","United States (Arizona, California, Colorado, Florida, Nevada, New Mexico, Oregon, Texas, Utah, Wyoming)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:20:00,"http://n2t.net/ark:/65665/36b8f5be3-9d8f-42f6-86bf-d6710585548e"
"NMNH",937,NA,"Species Inventory",NA,NA,NA,NA,NA,"Slide","Nearctic","United States (Arizona, Colorado, Idaho, Kansas, Montana, Nebraska, New Mexico, North Dakota, Oklahoma, Oregon, South Dakota, Texas, Utah, Washington, Wyoming)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,574,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:20:00,"http://n2t.net/ark:/65665/39e52f876-0ae4-42e4-9fdc-0e134b79357c"
"NMNH",946,NA,"Species Inventory",NA,NA,NA,NA,NA,"Slide","Nearctic","United States (Montana)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:21:00,"http://n2t.net/ark:/65665/38b1f5c41-1a81-478a-9666-5a6bd3cecf02"
"NMNH",949,NA,"Species Inventory",NA,NA,NA,NA,NA,"Slide","Nearctic","United States (Oregon)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:21:00,"http://n2t.net/ark:/65665/3804101ee-7b1e-4254-897b-a49994eefb9c"
"NMNH",957,NA,"Species Inventory",NA,NA,NA,NA,NA,"Slide","Nearctic","United States (Arizona, California, New Mexico, Oregon, Utah)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,"Reviewed, 2011, Submitted by F. Shockley, SI.",NA,NA,NA,NA,NA,NA,NA,2016-11-07 20:19:00,"http://n2t.net/ark:/65665/39c328b38-b0bf-48c1-9e9a-fcc35181ac92"
